id,scrape_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms, AC - split type ductless system, Air conditioning, Baking sheet, Bathtub, Bed linens, Blender, Board games, Body soap, Books and reading material, Carbon monoxide alarm, Central air conditioning, Central heating, Children\u2019s books and toys, Children\u2019s dinnerware, City skyline view, Cleaning available during stay, Cleaning products, Clothing storage, Clothing storage: closet, Clothing storage: wardrobe, Clothing storage: wardrobe and dresser, Coffee, Coffee maker, Coffee maker: Nespresso, Coffee maker: drip coffee maker, Coffee maker: espresso machine, Conditioner, Cooking basics, Crib, Crib - available upon request, Dedicated workspace, Dining table, Dishes and silverware, Dishwasher, Dryer, Drying rack for clothing, Electric stove, Elevator, Essentials, Ethernet connection, Extra pillows and blankets, Fire extinguisher, First aid kit, Free dryer \u2013 In unit, Free parking on premises, Free street parking, Free washer \u2013 In unit, Freezer, Hair dryer, Hangers, Heating, Heating - split type ductless system, High chair, Host greets you, Hot water, Hot water kettle, Iron, Kitchen, Laundromat nearby, Lockbox, Long term stays allowed, Luggage dropoff allowed, Microwave, Mini fridge, Mosquito net, Nespresso, Outdoor dining area, Outdoor furniture, Oven, Pack \u2019n play/Travel crib, Paid parking garage off premises, Paid parking off premises, Patio or balcony, Pets allowed, Portable fans, Private entrance, Private patio or balcony, Refrigerator, Room-darkening shades, Safe, Self check-in, Shampoo, Shower gel, Single level home, Smoke alarm, Smoking allowed, Stainless steel oven, Stove, TV, Toaster, Washer, Wifi, Window AC unit, Wine glasses,Babysitter recommendations,Coffee,Hair dryer,Keypad,Security cameras on property
131133,20230921043851,2011-05-29,False,6.0,9,True,True,5,5.0,63.0,2,365,2,2,365,365,2.0,365.0,5,5,5,5,45,5,0,True,6,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
138386,20230921043851,2011-06-07,False,1.0,1,True,True,4,2.0,59.0,3,300,3,3,300,300,3.0,300.0,0,0,0,0,59,0,0,False,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0
167416,20230921043851,2011-07-09,False,1.0,1,True,False,4,4.0,74.0,14,730,14,14,730,730,14.0,730.0,0,0,0,0,0,0,0,False,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
809874,20230921043851,2012-11-27,True,2.0,2,True,True,4,2.0,109.0,4,90,4,4,1125,1125,4.0,1125.0,0,2,2,237,92,11,1,False,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0
878526,20230921043851,2013-01-01,True,1.0,2,True,True,4,2.0,94.0,3,1125,1,3,1125,1125,3.0,1125.0,22,52,82,354,33,8,1,True,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1
240960,20230921043851,2011-10-08,True,2.0,3,True,True,4,2.0,116.0,3,31,3,3,31,31,3.0,31.0,15,41,62,139,85,8,0,True,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
905315,20230921043851,2013-01-20,True,39.0,48,True,True,3,2.0,67.0,2,365,1,2,365,365,2.0,365.0,2,14,43,223,444,42,3,False,20,20,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
912425,20230921043851,2013-01-29,False,1.0,1,True,True,6,5.0,70.0,4,180,4,4,1125,1125,4.0,1125.0,23,53,83,318,68,9,0,False,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1
940213,20230921043851,2011-11-17,True,51.0,85,True,True,12,3.0,278.0,2,1125,2,2,1125,1125,2.0,1125.0,11,31,56,228,28,2,0,False,50,50,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
947552,20230921043851,2013-02-18,True,1.0,1,True,True,5,2.0,70.0,5,1125,5,5,1125,1125,5.0,1125.0,0,28,58,148,52,8,0,False,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
